tick_ms,cell_min_mv,charge_current_ma,discharge_current_ma,ext_wake_event,force_sleep_level
0,2550,0,0,0,0
1000,2550,0,0,0,0
2000,2550,0,0,0,0
3000,2550,0,0,0,0
4000,2550,0,0,0,0
5000,2550,0,0,0,0
6000,2550,0,0,0,0
7000,2550,0,0,0,0
8000,2550,0,0,0,0
9000,2550,0,0,0,0
10000,2550,0,0,0,0
11000,2550,0,0,0,0
12000,2550,0,0,0,0
13000,2550,0,0,0,0
14000,2550,0,0,0,0
15000,2550,0,0,0,0
16000,2550,0,0,0,0
17000,2550,0,0,0,0
18000,2550,0,0,0,0
19000,2550,0,0,0,0
20000,2550,0,0,0,0
21000,2550,0,0,0,0
22000,2550,0,0,0,0
23000,2550,0,0,0,0
24000,2550,0,0,0,0
25000,2550,0,0,0,0
26000,2550,0,0,0,0
27000,2550,0,0,0,0
28000,2550,0,0,0,0
29000,2550,0,0,0,0
30000,2550,0,0,0,0
31000,2550,0,0,0,0
32000,2550,0,0,0,0
33000,2550,0,0,0,0
34000,2550,0,0,0,0
35000,2550,0,0,0,0
36000,2550,0,0,0,0
37000,2550,0,0,0,0
38000,2550,0,0,0,0
39000,2550,0,0,0,0
40000,2550,0,0,0,0
41000,2550,0,0,0,0
42000,2550,0,0,0,0
43000,2550,0,0,0,0
44000,2550,0,0,0,0
45000,2550,0,0,0,0
46000,2550,0,0,0,0
47000,2550,0,0,0,0
48000,2550,0,0,0,0
49000,2550,0,0,0,0
50000,2550,0,0,0,0
51000,2550,0,0,0,0
52000,2550,0,0,0,0
53000,2550,0,0,0,0
54000,2550,0,0,0,0
55000,2550,0,0,0,0
56000,2550,0,0,0,0
57000,2550,0,0,0,0
58000,2550,0,0,0,0
59000,2550,0,0,0,0
60000,2550,0,0,0,0
