# tick_ms,cell_max_mv,cell_min_mv,cell_delta_mv,pack_mv,soc_pct_x10,charge_current_ma,discharge_current_ma,temp_chg_max_c_x10,temp_dsg_min_c_x10,temp_mos_c_x10,charger_present,load_present
0,4100,3200,40,51200,500,0,0,250,200,350,0,1
100,4320,3200,45,51300,500,0,0,250,200,350,1,0
200,4325,3200,50,51320,500,0,0,250,200,350,1,0
300,4328,3200,55,51340,500,0,0,250,200,350,1,0
400,4410,3200,60,51350,500,0,0,250,200,350,1,0
500,4420,3200,60,51360,500,0,0,250,200,350,1,0
600,4090,3200,50,51250,500,0,0,250,200,350,1,0
700,4080,3200,45,51220,500,0,0,250,200,350,1,0
800,4070,3200,40,51200,500,0,0,250,200,350,1,0
900,4000,2950,45,51100,500,0,0,250,200,350,0,1
1000,3980,2890,50,51050,500,0,0,250,200,350,0,1
1100,3960,2790,55,51020,500,0,0,250,200,350,0,1
1200,3960,3200,40,51050,500,0,0,250,200,350,0,1
1300,3960,3220,40,51080,500,0,0,250,200,350,0,1
1400,3960,3250,40,51110,500,0,0,250,200,350,0,1
1500,4000,3250,45,51200,500,13000,0,250,200,350,1,0
1600,4000,3250,45,51220,500,13000,0,250,200,350,1,0
1700,4000,3250,45,51230,500,16000,0,250,200,350,1,0
1800,4000,3250,45,51240,500,16000,0,250,200,350,1,0
1900,4000,3250,45,51240,500,0,0,250,200,350,1,0
2000,4000,3250,45,51240,500,0,0,520,200,350,1,0
2100,4000,3250,45,51240,500,0,0,520,200,350,1,0
2200,4000,3250,45,51240,500,0,0,560,200,350,1,0
2300,4000,3250,45,51240,500,0,0,560,200,350,1,0
2400,4000,3250,45,51240,500,0,0,400,200,350,1,0
2500,4000,3250,45,51240,500,0,22000,250,200,350,0,1
2600,4000,3250,45,51240,500,0,22000,250,200,350,0,1
2700,4000,3250,45,51240,500,0,31000,250,200,350,0,1
2800,4000,3250,45,51240,500,0,31000,250,200,350,0,1
2900,4000,3250,45,51240,500,0,0,250,40,350,0,1
3000,4000,3250,45,51240,500,0,0,250,40,350,0,1
3100,4000,3250,45,51240,500,0,0,250,-10,350,0,1
3200,4000,3250,45,51240,500,0,0,250,-10,350,0,1
3300,4000,3250,45,51240,500,0,0,250,100,350,0,1
3400,4000,3250,45,51240,500,0,0,250,100,920,0,1
3500,4000,3250,45,51240,500,0,0,250,100,920,0,1
3600,4000,3250,45,51240,500,0,0,250,100,1020,0,1
3700,4000,3250,45,51240,500,0,0,250,100,1020,0,1
3800,4000,3250,45,51240,500,0,0,250,100,650,0,1
3900,4000,3250,45,60200,500,0,0,250,100,350,1,0
4000,4000,3250,45,60300,500,0,0,250,100,350,1,0
4100,4000,3250,45,61200,500,0,0,250,100,350,1,0
4200,4000,3250,45,61300,500,0,0,250,100,350,1,0
4300,4000,3250,45,61400,500,0,0,250,100,350,1,0
4400,4000,3250,45,57500,500,0,0,250,100,350,1,0
4500,4000,3250,45,57400,500,0,0,250,100,350,1,0
4600,4000,3250,45,57300,500,0,0,250,100,350,1,0
4700,4000,3250,45,43000,500,0,0,250,100,350,0,1
4800,4000,3250,45,40900,500,0,0,250,100,350,0,1
4900,4000,3250,45,39900,500,0,0,250,100,350,0,1
5000,4000,3250,45,39800,500,0,0,250,100,350,0,1
5100,4000,3250,45,39700,500,0,0,250,100,350,0,1
5200,4000,3250,45,44000,500,0,0,250,100,350,0,1
5300,4000,3250,45,44100,500,0,0,250,100,350,0,1
5400,4000,3250,45,44200,500,0,0,250,100,350,0,1
5500,4000,3250,160,51200,500,0,0,250,100,350,0,1
5600,4000,3250,170,51200,500,0,0,250,100,350,0,1
5700,4000,3250,230,51200,500,0,0,250,100,350,0,1
5800,4000,3250,240,51200,500,0,0,250,100,350,0,1
5900,4000,3250,250,51200,500,0,0,250,100,350,0,1
6000,4000,3250,70,51200,500,0,0,250,100,350,0,1
6100,4000,3250,60,51200,500,0,0,250,100,350,0,1
6200,4000,3250,55,51200,500,0,0,250,100,350,0,1
6300,4000,3250,55,51200,90,0,0,250,100,350,0,1
6400,4000,3250,55,51200,70,0,0,250,100,350,0,1
6500,4000,3250,55,51200,40,0,0,250,100,350,0,1
6600,4000,3250,55,51200,40,0,0,250,100,350,0,1
6700,4000,3250,55,51200,40,0,0,250,100,350,0,1
6800,4000,3250,55,51200,130,0,0,250,100,350,0,1
6900,4000,3250,55,51200,140,0,0,250,100,350,0,1
7000,4000,3250,55,51200,150,0,0,250,100,350,0,1
