# tick_ms,cell_max_mv,cell_min_mv,cell_delta_mv,pack_mv,soc_pct_x10,charge_current_ma,discharge_current_ma,temp_chg_max_c_x10,temp_dsg_min_c_x10,temp_mos_c_x10,charger_present,load_present
0,4000,3250,45,51200,500,0,0,250,200,350,1,0
100,4000,3250,45,51220,500,13000,0,250,200,350,1,0
200,4000,3250,45,51230,500,13000,0,250,200,350,1,0
300,4000,3250,45,51240,500,16000,0,250,200,350,1,0
400,4000,3250,45,51240,500,16000,0,250,200,350,1,0
500,4000,3250,45,51240,500,0,0,250,200,350,1,0
600,4000,3250,45,51240,500,0,22000,250,200,350,0,1
700,4000,3250,45,51240,500,0,22000,250,200,350,0,1
800,4000,3250,45,51240,500,0,31000,250,200,350,0,1
900,4000,3250,45,51240,500,0,31000,250,200,350,0,1
1000,4000,3250,45,51240,500,0,0,250,200,350,0,1
