# tick_ms,cell_max_mv,cell_min_mv,cell_delta_mv,pack_mv,soc_pct_x10,charge_current_ma,discharge_current_ma,temp_chg_max_c_x10,temp_dsg_min_c_x10,temp_mos_c_x10,charger_present,load_present
0,4000,3250,45,51240,500,0,0,250,200,350,1,0
100,4000,3250,45,51240,500,0,0,520,200,350,1,0
200,4000,3250,45,51240,500,0,0,520,200,350,1,0
300,4000,3250,45,51240,500,0,0,560,200,350,1,0
400,4000,3250,45,51240,500,0,0,560,200,350,1,0
500,4000,3250,45,51240,500,0,0,400,200,350,1,0
600,4000,3250,45,51240,500,0,0,250,40,350,0,1
700,4000,3250,45,51240,500,0,0,250,40,350,0,1
800,4000,3250,45,51240,500,0,0,250,-10,350,0,1
900,4000,3250,45,51240,500,0,0,250,-10,350,0,1
1000,4000,3250,45,51240,500,0,0,250,100,350,0,1
1100,4000,3250,45,51240,500,0,0,250,100,920,0,1
1200,4000,3250,45,51240,500,0,0,250,100,920,0,1
1300,4000,3250,45,51240,500,0,0,250,100,1020,0,1
1400,4000,3250,45,51240,500,0,0,250,100,1020,0,1
1500,4000,3250,45,51240,500,0,0,250,100,650,0,1
