# tick_ms,cell_max_mv,cell_min_mv,cell_delta_mv,pack_mv,soc_pct_x10,charge_current_ma,discharge_current_ma,temp_chg_max_c_x10,temp_dsg_min_c_x10,temp_mos_c_x10,charger_present,load_present
0,4100,3200,40,51200,500,0,0,250,200,350,0,1
100,4320,3200,45,51300,500,0,0,250,200,350,1,0
200,4325,3200,50,51320,500,0,0,250,200,350,1,0
300,4328,3200,55,51340,500,0,0,250,200,350,1,0
400,4410,3200,60,51350,500,0,0,250,200,350,1,0
500,4420,3200,60,51360,500,0,0,250,200,350,1,0
600,4090,3200,50,51250,500,0,0,250,200,350,1,0
700,4080,3200,45,51220,500,0,0,250,200,350,1,0
800,4070,3200,40,51200,500,0,0,250,200,350,1,0
900,4000,2950,45,51100,500,0,0,250,200,350,0,1
1000,3980,2890,50,51050,500,0,0,250,200,350,0,1
1100,3960,2790,55,51020,500,0,0,250,200,350,0,1
1200,3960,3200,40,51050,500,0,0,250,200,350,0,1
1300,3960,3220,40,51080,500,0,0,250,200,350,0,1
1400,3960,3250,40,51110,500,0,0,250,200,350,0,1
