# tick_ms,cell_max_mv,cell_min_mv,cell_delta_mv,pack_mv,soc_pct_x10,charge_current_ma,discharge_current_ma,temp_chg_max_c_x10,temp_dsg_min_c_x10,temp_mos_c_x10,charger_present,load_present
0,4000,3250,45,51240,500,0,0,250,100,350,1,0
100,4000,3250,45,60200,500,0,0,250,100,350,1,0
200,4000,3250,45,60300,500,0,0,250,100,350,1,0
300,4000,3250,45,61200,500,0,0,250,100,350,1,0
400,4000,3250,45,61300,500,0,0,250,100,350,1,0
500,4000,3250,45,61400,500,0,0,250,100,350,1,0
600,4000,3250,45,57500,500,0,0,250,100,350,1,0
700,4000,3250,45,57400,500,0,0,250,100,350,1,0
800,4000,3250,45,57300,500,0,0,250,100,350,1,0
900,4000,3250,45,43000,500,0,0,250,100,350,0,1
1000,4000,3250,45,40900,500,0,0,250,100,350,0,1
1100,4000,3250,45,39900,500,0,0,250,100,350,0,1
1200,4000,3250,45,39800,500,0,0,250,100,350,0,1
1300,4000,3250,45,39700,500,0,0,250,100,350,0,1
1400,4000,3250,45,44000,500,0,0,250,100,350,0,1
1500,4000,3250,45,44100,500,0,0,250,100,350,0,1
1600,4000,3250,45,44200,500,0,0,250,100,350,0,1
1700,4000,3250,160,51200,500,0,0,250,100,350,0,1
1800,4000,3250,170,51200,500,0,0,250,100,350,0,1
1900,4000,3250,230,51200,500,0,0,250,100,350,0,1
2000,4000,3250,240,51200,500,0,0,250,100,350,0,1
2100,4000,3250,250,51200,500,0,0,250,100,350,0,1
2200,4000,3250,70,51200,500,0,0,250,100,350,0,1
2300,4000,3250,60,51200,500,0,0,250,100,350,0,1
2400,4000,3250,55,51200,500,0,0,250,100,350,0,1
2500,4000,3250,55,51200,90,0,0,250,100,350,0,1
2600,4000,3250,55,51200,70,0,0,250,100,350,0,1
2700,4000,3250,55,51200,40,0,0,250,100,350,0,1
2800,4000,3250,55,51200,40,0,0,250,100,350,0,1
2900,4000,3250,55,51200,40,0,0,250,100,350,0,1
3000,4000,3250,55,51200,130,0,0,250,100,350,0,1
3100,4000,3250,55,51200,140,0,0,250,100,350,0,1
3200,4000,3250,55,51200,150,0,0,250,100,350,0,1
